---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 15   , 5921   , ‘al-                   , upon                           ,                                             , Prep
gen  , 1    , 15   , 776    , hā-’ā-reṣ              , the earth                      ,                                             , Art ; N-fs
gen  , 1    , 15   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 15   , 1961   , va-yehi                , and it was                     ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 15   , 3651   , ken                    , so                             ,                                             , Adv
gen  , 1    , 15   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 16   , 6213   , way-ya-‘aś             , And made                       ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 16   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 1    , 16   , 853    , ’eṯ-                   , -                              ,                                             , DirObjM
gen  , 1    , 16   , 8147   , šə-nê                  , two                            ,                                             , Number-mdc
gen  , 1    , 16   , 3974   , ham-mə-’ō-rōṯ          , lights                         ,                                             , Art ; N-mp
gen  , 1    , 16   , 1419   , hag-gə-ḏō-lîm          , great                          ,                                             , Art ; Adj-mp
gen  , 1    , 16   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 16   , 853    , ’eṯ-                   , -                              ,                                             , DirObjM
gen  , 1    , 16   , 3974   , ham-mā-’ō-wr           , the light                      ,                                             , Art ; N-ms
gen  , 1    , 16   , 1419   , hag-gā-ḏōl             , greater                        ,                                             , Art ; Adj-ms
gen  , 1    , 16   , 4475   , lə-mem-še-leṯ          , to rule                        ,                                             , Prep-l ; N-fsc
gen  , 1    , 16   , 3117   , hay-yō-wm              , the day                        ,                                             , Art ; N-ms
gen  , 1    , 16   , 853    , wə-’eṯ-                , and                            ,                                             , Conj-w ; DirObjM
gen  , 1    , 16   , 3974   , ham-mā-’ō-wr           , the light                      ,                                             , Art ; N-ms
gen  , 1    , 16   , 6996   , haq-qā-ṭōn             , lesser                         ,                                             , Art ; Adj-ms
gen  , 1    , 16   , 4475   , lə-mem-še-leṯ          , to rule                        ,                                             , Prep-l ; N-fsc
gen  , 1    , 16   , 3915   , hal-lay-lāh            , the night                      ,                                             , Art ; N-ms
gen  , 1    , 16   , 853    , wə-’êṯ                 , and [He made]                  ,                                             , Conj-w ; DirObjM
gen  , 1    , 16   , 3556   , hak-kō-w-ḵā-ḇîm        , the stars                      ,                                             , Art ; N-mp
gen  , 1    , 16   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 16   , 853    , wə-’êṯ                 , and [He made]                  ,                                             , Conj-w ; DirObjM
gen  , 1    , 16   , 3556   , hak-kō-w-ḵā-ḇîm        , the stars                      ,                                             , Art ; N-mp
gen  , 1    , 16   ,        ,                        , .                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
